source_id	distance_parallax(pc)	distance_error_parallax (pc)	distance_cepheid	distance_error_cepheid
5599566983722741248	7518.796992481202	1243.7107807111763	12625.099890494794	63.95480697191097
5617745003304609536	NULL	NULL	9528.553640228074	48.2686722535233
2004103831357741696	NULL	NULL	20892.672391994944	105.8357432057548
3425576270732293632	2666.6666666666665	319.99999999999994	3939.0363778582414	19.953926177718827
4690127037676227840	NULL	NULL	59768.3189595679	302.7676085931518
5254994264542210560	NULL	NULL	15161.594188431765	76.80389368147792
5932284528150696704	3311.258278145695	570.1504319985964	7832.11325876865	39.67503591981977
5857845872913577856	NULL	NULL	21881.8928661931	110.84682470441578
198681686717279616	4464.285714285715	577.9655612244899	6931.084452611222	35.11070582550388
5322962499927658880	NULL	NULL	13890.53144592635	70.36508741054111
3330259852538068608	3289.4736842105262	497.74930747922434	4710.191437241885	23.860356494791002
5611563995612988928	6134.9693251533745	1016.2219127554669	10450.32889615534	52.938097372978866
3133819112256378368	2169.1973969631235	230.565450002588	1975.440499091802	10.006963659672103
5515778734493663232	NULL	NULL	16386.02579595742	83.00648120861239
4688033735040263168	NULL	NULL	78723.3166477429	398.78769784511417
5280590173638560128	NULL	NULL	52627.84631359838	266.5962076757612
355488086540394112	NULL	NULL	23679.455003081108	119.95271222069925
5520506531407532928	NULL	NULL	14667.497421607688	74.30095401194943
5545066700588440832	NULL	NULL	12616.391745376119	63.910694232607604
4637956099996538752	NULL	NULL	70064.50074538749	354.92484492167875
2948568273607650560	6802.7210884353735	1156.925355176084	9703.59757320414	49.15539006504072
4066429066901946368	858.3690987124463	39.05026801009412	886.881945771413	4.492666524673381
460909093912435072	5681.818181818182	871.6425619834711	7511.304610843734	38.04991965690569
430052537038350976	NULL	NULL	11687.070816184752	59.20304509264809
1873298884367855872	NULL	NULL	23529.282024709453	119.19198288568725
5616130129962210048	NULL	NULL	10677.32305223217	54.08797876493326
3117307814859500416	NULL	NULL	8442.772831532264	42.768446303926915
5293246995583678336	1683.5016835016831	70.85444795882505	24599.447547064603	124.61310667907179
5544259212380322560	NULL	NULL	11659.68809258237	59.06433278006876
2928335747830554240	NULL	NULL	12134.532238506952	61.46974469425192
4757607983288353024	NULL	NULL	61094.50021126978	309.485627990861
513074186146353536	3067.4846625766872	319.92171327486926	2600.1178814876957	13.17138388266982
4688114725237948672	NULL	NULL	77565.64645469414	392.9233027610554
261927068718088832	4830.917874396135	560.1064202198417	9178.12022593172	46.49348619066255
4682206533865906944	NULL	NULL	54411.94774510497	275.63390746902934
5253289093802878592	NULL	NULL	17700.802360964128	89.6667280308576
2947842664653933824	NULL	NULL	9843.02347510476	49.86167807228667
5310969267622303872	NULL	NULL	18360.44747328249	93.00828383589702
4642866828161408512	NULL	NULL	67148.07270814815	340.15113273033694
5533064637824258816	NULL	NULL	13379.915585509458	67.77846717996812
5598642947280233984	8474.57627118644	1436.3688595231258	11618.973854222164	58.85808718376297
5856662557855409280	NULL	NULL	21181.77212468305	107.30023202248243
5318708901756763520	NULL	NULL	19071.503541404803	96.6102714619281
4265371574109405824	2242.152466367713	216.17165034486914	2296.74530456926	11.634593301551545
5519861423017907840	NULL	NULL	13819.01153876	70.00278993193528
5241937353463150848	NULL	NULL	16621.009616924297	84.19683574376924
466906311366699520	6172.839506172839	876.3907940862672	6322.52864136969	32.02795243922065
5252269709082759936	NULL	NULL	24704.866646898095	125.14712686421738
5310863370918375552	8849.557522123892	1253.0346933980732	8148.036992997105	41.27540673792616
5863815636949490048	NULL	NULL	21192.87429626824	107.35647215102465
2930525287803260288	NULL	NULL	8909.35862324935	45.13202397887021
5858259014403682304	NULL	NULL	21860.738472613833	110.7396631635405
5235910694044165760	1375.5158184319118	60.545400536205186	1509.180169957105	7.645034676367992
5237406545247540608	NULL	NULL	15817.303468770266	80.12551179281755
5335753015664095104	8849.557522123892	1722.9227034223504	12010.542182785795	60.84164985548924
5594991812757424768	NULL	NULL	12303.092083937736	62.32361614645778
2932737092877188352	NULL	NULL	8487.63118926468	42.9956847127108
2059517087110475392	NULL	NULL	16566.592446154566	83.92117537809119
5329323277776517120	7751.937984496123	1201.8508503094765	10305.60797129029	52.20498643565399
5239658688657671680	NULL	NULL	52918.71361129028	268.06965042391187
5322878146768508800	NULL	NULL	15400.57362613906	78.01448876123114
5612661716228387200	NULL	NULL	10406.749282084318	52.71733667959845
377753613615880832	NULL	NULL	7015.088646409938	35.536244795161664
5875602191067578752	NULL	NULL	22577.240014103918	114.3692358543336
